127.0.0.1 - - [18/Aug/2022:16:20:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:28 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:28 +0900] "GET /wgt/resources/initialize.css HTTP/1.1" 200 1254
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:28 +0900] "GET /wgt/resources/shopStyle.css HTTP/1.1" 200 4564
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:28 +0900] "GET /wgt/resources/waitingStyle.css HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:35 +0900] "GET /wgt/login HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:35 +0900] "GET /wgt/resources/login/login.css HTTP/1.1" 200 1264
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:39 +0900] "POST /wgt/login HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:40 +0900] "GET /wgt/login HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:43 +0900] "POST /wgt/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:43 +0900] "GET /wgt/map/map HTTP/1.1" 200 11524
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:43 +0900] "GET /wgt/resources/mapcss/map.css HTTP/1.1" 200 5174
0:0:0:0:0:0:0:1 - - [18/Aug/2022:16:20:43 +0900] "GET /wgt/resources/mapcss/img/backicon.png HTTP/1.1" 200 338
