127.0.0.1 - - [23/Aug/2022:09:11:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:12:01 +0900] "GET /wgt/login HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:12:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:04 +0900] "GET /wgt/login HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:04 +0900] "GET /wgt/resources/login/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:14 +0900] "POST /wgt/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:14 +0900] "GET /wgt/map/map HTTP/1.1" 200 13064
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:14 +0900] "GET /wgt/resources/mapcss/img/backicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:14 +0900] "GET /wgt/resources/mapcss/map.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:18 +0900] "POST /wgt/map/go_get_waiting HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:18 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:18 +0900] "GET /wgt/resources/waitingStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:18 +0900] "GET /wgt/resources/initialize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:18 +0900] "GET /wgt/resources/shopStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:21 +0900] "GET /wgt/shop/viewUserShop?shopName=%EB%9E%91%EC%9D%B4 HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:21 +0900] "GET /wgt/resources/shop/menu_img/3ed57e9d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:21 +0900] "GET /wgt/resources/shop/shop_Img/4674ad6b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:22 +0900] "GET /wgt/controller/waiting HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:24 +0900] "POST /wgt/controller/waiting HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:16:24 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:17:52 +0900] "GET /wgt/controller/waiting HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:17:56 +0900] "GET /wgt/map/map HTTP/1.1" 200 13064
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:17:58 +0900] "POST /wgt/map/go_get_waiting HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:17:58 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:19:17 +0900] "POST /wgt/map/go_get_waiting HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:19:17 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:19:20 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:19:24 +0900] "GET /wgt/shop/viewUserShop?shopName=%EB%9E%91%EC%9D%B4 HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:19:25 +0900] "GET /wgt/controller/waiting HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:19:26 +0900] "POST /wgt/controller/waiting HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:19:26 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:19:30 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:21:05 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:21:08 +0900] "POST /wgt/controller/waiting HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:21:08 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:21:09 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:22:13 +0900] "GET /wgt/controller/get_waiting HTTP/1.1" 200 1346
0:0:0:0:0:0:0:1 - - [23/Aug/2022:09:22:55 +0900] "POST /wgt/controller/waiting HTTP/1.1" 302 -
