127.0.0.1 - - [10/Aug/2022:09:10:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:10:15 +0900] "GET /wgt/login HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:10:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:10:20 +0900] "POST /wgt/login HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:10:20 +0900] "GET /wgt/resources/mapcss/map.css HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:11:23 +0900] "POST /wgt/map HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:12:03 +0900] "GET /wgt/login HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:23:04 +0900] "POST /wgt/login HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:23:04 +0900] "POST /wgt/login HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:23:04 +0900] "GET /wgt/resources/mapcss/map.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:33:39 +0900] "GET /wgt/controller/waiting HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:33:51 +0900] "GET /wgt/controller/waiting HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:34:37 +0900] "GET /wgt/controller/waiting HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:37:59 +0900] "GET /wgt/controller/waiting HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:38:09 +0900] "GET /wgt/controller/waiting HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:38:30 +0900] "GET /wgt/controller/waiting HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:45:01 +0900] "GET /wgt/controller/waiting HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:45:46 +0900] "GET /wgt/controller/waiting HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [10/Aug/2022:09:46:00 +0900] "GET /wgt/controller/waiting HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [10/Aug/2022:10:20:14 +0900] "GET /wgt/controller/waiting HTTP/1.1" 200 366
